Name,Teff,e_Teff,R*,e_R*,log(g),e_log(g),[Fe/H],e_[Fe/H],M*,e_M*,logA,e_logA,plx,Vmag,Notes,Source,RA,Dec
HD 135101A,5677,60,1.28,0.14,4.2,0.05,0.04,0.05,0.98,0.05,10.01,0.09,30.7,6.7,A1,Yee,228.1811695833333,19.286039444444445
HD 135872,4992,60,3.37,0.46,3.44,0.05,0.12,0.05,1.16,0.2,9.84,0.25,11.7,7.3,A1,Yee,229.42171416666662,-5.202413888888889
HD 137778,5128,60,0.83,0.05,4.52,0.05,0.27,0.05,0.89,0.04,9.66,0.5,48.1,7.5,A2,Yee,232.05087874999998,-9.357862222222222
HD 13871,6416,60,1.94,0.24,4.03,0.05,0.27,0.05,1.49,0.1,9.34,0.08,24.9,5.8,A2,Yee,33.94187374999999,25.782938333333334
HD 1388,5925,60,1.15,0.12,4.32,0.05,0.03,0.05,1.06,0.05,9.71,0.21,36.7,6.5,A1,Yee,4.495285416666666,-13.455640833333332
HD 13931,5853,60,1.2,0.12,4.28,0.05,0.05,0.05,1.04,0.05,9.82,0.12,21.4,7.6,A1,Yee,34.197411249999995,43.77299611111111
HD 144872,4781,60,0.69,0.03,4.52,0.05,-0.25,0.05,0.7,0.03,9.97,0.47,43.1,8.6,A1,Yee,241.62332999999998,38.632240277777775
HD 14655,5755,60,1.97,0.23,3.92,0.05,0.12,0.05,1.23,0.12,9.7,0.13,9.8,8.2,A2,Yee,35.4109875,-15.767981666666667
HD 14787,4946,60,4.45,0.59,3.23,0.05,0.03,0.05,1.28,0.2,9.67,0.23,8.4,7.6,A1,Yee,35.808557916666665,10.836746111111111
HD 148284,5572,60,1.8,0.24,3.97,0.05,0.16,0.05,1.11,0.12,9.88,0.16,8.0,9.0,A1,Yee,246.45173166666666,30.265127222222223
HD 14855,5023,60,3.43,0.48,3.43,0.05,0.03,0.05,1.17,0.21,9.81,0.26,11.8,7.4,A1,Yee,36.265596249999994,45.64733722222222
HD 149750,5802,60,1.45,0.18,4.14,0.05,0.19,0.05,1.09,0.1,9.85,0.14,11.5,8.6,A1,Yee,248.81101041666662,37.02212861111111
HD 1502,4947,60,4.91,0.61,3.18,0.05,0.1,0.05,1.33,0.18,9.64,0.19,6.0,8.3,A2,Yee,4.821107916666666,14.05475638888889
HD 150706,5949,60,1.0,0.05,4.53,0.05,0.02,0.05,1.06,0.04,9.19,0.24,35.4,7.0,A1,Yee,247.82326249999997,79.78977694444444
HD 152581,5027,60,3.71,0.41,3.29,0.05,-0.21,0.05,0.94,0.06,10.06,0.11,6.0,8.3,A1,Yee,253.43159416666666,11.973746944444445
HD 152733,4835,60,5.26,0.69,3.1,0.05,0.16,0.05,1.3,0.18,9.69,0.21,6.1,8.1,A1,Yee,253.2383933333333,44.4023975
HD 15336,5025,60,4.56,0.57,3.12,0.05,-0.16,0.05,1.0,0.12,9.97,0.17,2.9,8.9,A1,Yee,36.937187916666666,-11.979030833333333
HD 153525,4826,60,0.74,0.03,4.54,0.05,0.03,0.05,0.78,0.04,9.83,0.51,55.7,7.9,A1,Yee,254.4259495833333,47.36214277777778
HD 155413,5740,60,2.47,0.28,3.79,0.05,0.27,0.05,1.42,0.11,9.55,0.11,11.6,7.3,A1,Yee,257.9943154166666,-14.62038
HD 155456,5225,60,0.91,0.07,4.43,0.05,0.26,0.05,0.88,0.04,10.02,0.33,28.3,8.3,A1,Yee,257.6567058333333,24.53243611111111
HD 155712,4911,60,0.75,0.04,4.52,0.05,-0.07,0.05,0.77,0.04,9.91,0.49,48.7,8.0,A2,Yee,258.1567604166666,18.351194444444445
HD 156846,5999,60,1.88,0.23,4.01,0.05,0.24,0.05,1.35,0.12,9.56,0.11,21.1,6.5,A1,Yee,260.1429616666666,-19.333747499999998
